X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count,Reliability
-132.827,-56.952,-27.06,27.06,6.83,8.0,1.154
-132.827,56.952,-29.149,29.149,7.278,8.0,1.084
-121.735,-2.712,-25.809,25.809,4.731,8.0,1.656
-94.005,-56.952,-25.471,25.471,4.311,8.0,1.814
-94.005,94.92,-24.796,24.796,3.2,8.0,2.424
-71.821,62.376,-24.985,24.985,4.475,8.0,1.749
-55.183,-132.888,-26.468,26.468,4.533,8.0,1.727
-55.183,-94.92,-24.946,24.946,3.695,8.0,2.108
-55.183,18.984,-25.783,25.783,4.465,8.0,1.752
-55.183,94.92,-25.654,25.654,4.023,8.0,1.941
-55.183,132.888,-27.778,27.778,7.714,8.0,1.024
-49.637,-35.256,-25.949,25.949,4.233,8.0,1.847
-16.361,-56.952,-25.493,25.493,4.585,8.0,1.708
-16.361,56.952,-25.963,25.963,3.92,8.0,1.99
0.277,-132.888,-26.134,26.134,4.095,8.0,1.907
0.277,-2.712,-23.579,23.579,5.614,8.0,1.4
0.277,127.464,-24.715,24.715,4.657,8.0,1.682
16.915,-94.92,-25.055,25.055,4.384,8.0,1.784
16.915,-18.984,-26.329,26.329,4.392,8.0,1.781
16.915,18.984,-25.895,25.895,4.814,8.0,1.628
16.915,94.92,-24.664,24.664,4.342,8.0,1.801
55.737,-132.888,-24.026,24.026,3.912,8.0,1.994
55.737,56.952,-25.919,25.919,4.233,8.0,1.846
72.375,-67.8,-25.499,25.499,3.81,8.0,2.046
72.375,-2.712,-25.012,25.012,3.742,8.0,2.082
72.375,127.464,-27.049,27.049,4.191,8.0,1.864
94.559,-94.92,-24.479,24.479,3.518,8.0,2.211
94.559,18.984,-24.708,24.708,4.212,8.0,1.855
94.559,62.376,-25.295,25.295,3.122,8.0,2.483
133.381,18.984,-25.148,25.148,4.446,8.0,1.76
138.927,-35.256,-30.511,30.511,4.656,8.0,1.682
