Site_X,Site_Y,Count,Delta_Mean,Delta_Std,Delta_Min,Delta_Max,Avg_Distance,DMT_Mean_Thickness,TFK_Mean_Thickness,Wafer_Example
-135.6,-57.5,8,-27.06,7.301,-36.663,-18.58,1.504,3358.979,3386.039,AANBD202TEC1
-135.6,57.5,8,-29.149,7.781,-38.421,-20.775,1.504,3359.263,3388.412,AANBD202TEC1
-119.3,-3.3,8,-25.809,5.058,-32.015,-20.028,1.499,3344.217,3370.026,AANBD202TEC1
-96.3,-57.5,8,-25.471,4.609,-30.703,-19.174,1.04,3346.158,3371.629,AANBD202TEC1
-96.3,96.3,8,-24.796,3.421,-28.691,-20.151,0.721,3340.826,3365.622,AANBD202TEC1
-71.6,62.4,8,-24.985,4.784,-31.595,-20.271,1.38,3349.163,3374.148,AANBD202TEC1
-57.5,-135.6,8,-26.468,4.846,-34.722,-18.939,1.504,3360.036,3386.504,AANBD202TEC1
-57.5,-96.3,8,-24.946,3.95,-29.752,-20.176,1.04,3346.111,3371.057,AANBD202TEC1
-57.5,18.7,8,-25.783,4.773,-31.017,-19.392,1.586,3353.33,3379.113,AANBD202TEC1
-57.5,96.3,8,-25.654,4.3,-31.142,-20.532,1.04,3347.431,3373.085,AANBD202TEC1
-57.5,135.6,8,-27.778,8.246,-37.344,-19.35,1.504,3360.203,3387.981,AANBD202TEC1
-47.7,-36.2,8,-25.949,4.525,-32.672,-20.509,0.695,3353.05,3378.999,AANBD202TEC1
-18.7,-57.5,8,-25.493,4.902,-31.503,-20.352,1.586,3352.667,3378.16,AANBD202TEC1
-18.7,57.5,8,-25.963,4.191,-30.796,-21.296,1.586,3353.625,3379.587,AANBD202TEC1
0.0,-134.9,8,-26.134,4.378,-31.124,-21.096,0.247,3338.883,3365.018,AANBD202TEC1
0.0,-1.8,8,-23.579,6.002,-30.615,-13.716,3.662,3362.458,3386.037,AANBD202TEC1
0.0,126.7,8,-24.715,4.979,-30.717,-19.011,1.428,3344.921,3369.636,AANBD202TEC1
18.7,-96.3,8,-25.055,4.686,-31.752,-19.003,1.398,3347.389,3372.444,AANBD202TEC1
18.7,-20.2,8,-26.329,4.695,-31.611,-21.166,2.14,3356.475,3382.804,AANBD202TEC1
18.7,18.7,8,-25.895,5.147,-31.62,-19.269,1.841,3358.076,3383.97,AANBD202TEC1
18.7,96.3,8,-24.664,4.642,-30.155,-18.567,1.398,3350.367,3375.031,AANBD202TEC1
57.5,-135.6,8,-24.026,4.182,-28.641,-18.697,1.504,3362.122,3386.148,AANBD202TEC1
57.5,57.5,8,-25.919,4.525,-31.685,-20.998,1.282,3349.8,3375.719,AANBD202TEC1
71.6,-69.1,8,-25.499,4.073,-30.431,-20.057,0.823,3347.888,3373.386,AANBD202TEC1
71.6,-3.3,8,-25.012,4.001,-29.934,-19.567,1.036,3350.49,3375.502,AANBD202TEC1
71.6,126.7,8,-27.049,4.48,-32.925,-21.417,1.635,3337.434,3364.483,AANBD202TEC1
95.5,62.4,8,-25.295,3.338,-29.693,-20.936,1.543,3346.882,3372.176,AANBD202TEC1
96.3,-96.3,8,-24.479,3.761,-28.701,-20.458,0.721,3340.114,3364.593,AANBD202TEC1
96.3,18.7,8,-24.708,4.503,-31.484,-19.588,1.398,3348.845,3373.554,AANBD202TEC1
135.6,18.7,8,-25.148,4.753,-31.087,-19.586,1.771,3339.678,3364.825,AANBD202TEC1
141.7,-36.2,8,-30.511,4.978,-36.324,-24.742,1.467,3338.841,3369.353,AANBD202TEC1
