WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANBD159TED5,31.0,31.0,31.0,3334.26,3337.39,3366.35,7.5,7.36,8.14
AANBD160TEG6,31.0,31.0,31.0,3334.84,3337.28,3367.13,7.51,7.63,8.26
AANBD182TEC1,31.0,31.0,31.0,3350.45,3349.53,3380.39,12.4,7.11,7.92
AANBD183TEG3,31.0,31.0,31.0,3360.71,3357.92,3379.67,7.61,7.53,7.72
AANBD202TEC1,31.0,31.0,31.0,3346.52,3347.36,3378.01,12.11,7.29,8.34
AANBD204TED2,31.0,31.0,31.0,3358.71,3356.46,3377.72,7.32,8.36,6.95
AANBD216TEB4,31.0,31.0,31.0,3360.06,3357.61,3378.97,7.56,7.91,7.65
AANBD252TEC4,31.0,31.0,31.0,3357.55,3355.35,3376.93,7.38,8.54,7.52
AHJYE733TMA3,31.0,0.0,0.0,3368.13,0.0,0.0,11.12,0.0,0.0
GD2SM303JKA0,31.0,0.0,0.0,3347.03,0.0,0.0,23.7,0.0,0.0
GD2SM325JKC6,31.0,0.0,0.0,3359.68,0.0,0.0,10.59,0.0,0.0
GD2SM381JKF3,31.0,0.0,0.0,3364.55,0.0,0.0,11.6,0.0,0.0
GD7LB587JKG0,31.0,0.0,0.0,3358.1,0.0,0.0,11.03,0.0,0.0
GD7LB589JKH1,31.0,0.0,0.0,3347.87,0.0,0.0,21.3,0.0,0.0
GD7LB591JKH1,31.0,0.0,0.0,3349.35,0.0,0.0,18.55,0.0,0.0
WMCTE191ESB7,31.0,0.0,0.0,3348.29,0.0,0.0,20.95,0.0,0.0
