WaferID,Tool,Mean_Thickness,Std_Thickness,Count
AANBD159TED5,DMT,3334.16,5.79,31
AANBD160TEG6,DMT,3334.05,6.56,31
AANBD182TEC1,DMT,3346.31,5.54,31
AANBD183TEG3,DMT,3354.69,6.94,31
AANBD202TEC1,DMT,3344.13,5.6,31
AANBD204TED2,DMT,3353.24,7.98,31
AANBD216TEB4,DMT,3354.38,7.54,31
AANBD252TEC4,DMT,3352.12,8.43,31
AANBD159TED5,TFK,3366.35,8.14,31
AANBD160TEG6,TFK,3367.13,8.26,31
AANBD182TEC1,TFK,3380.39,7.92,31
AANBD183TEG3,TFK,3379.67,7.72,31
AANBD202TEC1,TFK,3378.01,8.34,31
AANBD204TED2,TFK,3377.72,6.95,31
AANBD216TEB4,TFK,3378.97,7.65,31
AANBD252TEC4,TFK,3376.93,7.52,31
AANBD159TED5,BTM,3355.26,7.5,31
AANBD160TEG6,BTM,3355.84,7.51,31
AANBD182TEC1,BTM,3371.45,12.4,31
AANBD183TEG3,BTM,3381.71,7.61,31
AANBD202TEC1,BTM,3367.52,12.11,31
AANBD204TED2,BTM,3379.71,7.32,31
AANBD216TEB4,BTM,3381.06,7.56,31
AANBD252TEC4,BTM,3378.55,7.38,31
