order,WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness,,
1,AANBD202TEC1,31,31,31,3363.68,3344.13,3378.01,4.98,5.6,8.34,,14.33
2,AANBD159TED5,31,31,31,3352.71,3334.16,3366.35,5.4,5.79,8.14,,13.64
3,AANBD182TEC1,31,31,31,3366.1,3346.31,3380.39,4.65,5.54,7.92,,14.29
4,AANBD160TEG6,31,31,31,3353.35,3334.05,3367.13,5.57,6.56,8.26,,13.78
5,AANBD204TED2,31,31,31,3372.65,3353.24,3377.72,6.88,7.98,6.95,,5.07
6,AANBD183TEG3,31,31,31,3374.55,3354.69,3379.67,6.94,6.94,7.72,,5.12
7,AANBD252TEC4,31,31,31,3371.45,3352.12,3376.93,7.03,8.43,7.52,,5.48
8,AANBD216TEB4,31,31,31,3373.87,3354.38,3378.97,6.84,7.54,7.65,,5.1
,,,,,,,,,,,,
,,,,,3336,,3364,,,,,28
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,3326,,3366,,,,,40.35
,,,,,3326,,3367,,,,,41.13
,,,,,3344,,3377,,,,,32.93
,,,,,3345,,3378,,,,,32.72
,,,,,3337,,3378,,,,,41.01
,,,,,3347,,3379,,,,,31.97
,,,,,3347,,3380,,,,,32.67
,,,,,3339,,3380,,,,,41.39
